StoreID,StreetAddress,address1,address2,city,stateAddress,postalCode,type,chainCode,latitude,longitude
6505,114 Commerce Lane,114 Commerce Lane,,Fairview Heights,IL,62208,1,BRU,38.5985384,-89.9899074
9229,135 Danohoe Road,135 Danohoe Road,,Greensburg,PA,15601,1,TRU,40.3059592,-79.5080591
7831,2918 E. Texas St. Pierre-bossier Mall,2918 E. Texas St.,Pierre-bossier Mall,Bossier City,LA,71111-3202,1,TRU,32.5281989,-93.7072635
9227,654 Hylan Drive,654 Hylan Drive,,Rochester,NY,14623,1,TRU,43.084496,-77.6273085
9226,3464 Mc Kinley Parkway,3464 Mc Kinley Parkway,,Hamburg,NY,14075,1,TRU,42.7909276,-78.8119845
9225,1530 Ridge Road West,1530 Ridge Road West,,Rochester,NY,14615,1,TRU,43.2074819,-77.6678202
9224,4135 Transit Road,4135 Transit Road,,Williamsville,NY,14221,1,TRU,42.9600469,-78.6951838
9591,1370 Western Blvd,1370 Western Blvd,,Jacksonville,NC,28541,1,TRU,34.7883716,-77.4012722
9590,1003 Bonita Lakes Cir.,1003 Bonita Lakes Cir.,,Meridian,MS,39301,1,TRU,32.3609475,-88.6752282
9221,27048 Lorain Rd,27048 Lorain Rd,,North Olmsted,OH,44070,1,TRU,41.418047,-81.9217931
6554,3938 Horton,3938 Horton,,Emeryville,CA,94608,1,BRU,37.8291917,-122.2869321
6077,1038 Jackson Crossing,1038 Jackson Crossing,,Jackson,MI,49204,1,TRU,42.26785,-84.4266743
6557,8181 Mira Mesa Blvd,8181 Mira Mesa Blvd,,San Diego,CA,92126,1,BRU,32.9103511,-117.1469835
6550,4646 W. Kellogg,4646 W. Kellogg,,Wichita,KS,67209,1,BRU,37.675406,-97.3962611
6551,8236 Tamarack Village,8236 Tamarack Village,,Woodbury,MN,55125,1,BRU,44.9394017,-92.9398714
6552,2161 Zeier Road,2161 Zeier Road,,Madison,WI,53704,1,BRU,43.1282551,-89.3011026
6553,6104 N. Division St.,6104 N. Division St.,,Spokane,WA,99207,1,BRU,47.7137462,-117.4094353
6414,12012 Cherry Hill Rd,12012 Cherry Hill Rd,,Silver Spring,MD,20904,1,BRU,39.0530365,-76.9573771
6558,775 Serramonte Blvd,775 Serramonte Blvd,,Colma,CA,94014,1,BRU,37.6732488,-122.46138
6410,250 East Route 59,250 East Route 59,,Nanuet,NY,10954,1,BRU,41.0953926,-74.0008619
7835,3701 Ellison Rd. N.w.,3701 Ellison Rd. N.w.,,Albuquerque,NM,87114,1,TRU,35.2079246,-106.6535513
8814,3424 Wrightsboro Road,3424 Wrightsboro Road,,Augusta,GA,30909,1,TRU,33.4663632,-82.0773432
5647,1100 South Harbor Blvd,1100 South Harbor Blvd,,Fullerton,CA,92832,1,TRU,33.8615144,-117.9227364
8838,201 Buyers Drive,201 Buyers Drive,,Dothan,AL,36303-2285,1,TRU,31.2516682,-85.4263178
8314,10 Geoffrey Drive,10 Geoffrey Drive,,Newark,DE,19702,1,TRU,39.6868506,-75.6544672
8315,6391 Carlisle Pike,6391 Carlisle Pike,,Mechanicsburg,PA,17050,1,TRU,40.2477821,-77.0032845
8316,8401 Mike Shapiro Dr.,8401 Mike Shapiro Dr.,,Clinton,MD,20735,1,TRU,38.7736663,-76.8841377
8310,1410 Kenneth Rd,1410 Kenneth Rd,,York,PA,17408,1,TRU,39.9734438,-76.7669025
8311,2345 East Lincoln Highw,2345 East Lincoln Highw,,Langhorne,PA,19047,1,TRU,40.178421,-74.875887
8312,1154 West Baltimore Pike,1154 West,Baltimore Pike,Media,PA,19063,1,TRU,39.9127193,-75.4351578
6630,3515 Long Beach Road The Sands Shopping Cent,3515 Long Beach Road,The Sands Shopping Cent,Oceanside,NY,11572,1,TRU,40.6240905,-73.6388103
8319,600 N. Frederick Rd.,600 N. Frederick Rd.,,Gaithersburg,MD,20877,1,TRU,39.1497807,-77.2105212
9293,295 Center Drive,295 Center Drive,,Vernon Hills,IL,60061,1,BRU,42.2431219,-87.9551488
9290,4140 Coldwater Road,4140 Coldwater Road,,Fort Wayne,IN,46805,1,BRU,41.1158808,-85.1337795
6373,130 Consumers Square,130 Consumers Square,,Mays Landing,NJ,08330,1,BRU,39.4524874,-74.6290259
5832,700 A Onstott Road,700 A Onstott Road,,Yuba City,CA,95993,1,TRU,39.1331299,-121.6374339
9294,1335 East 79th Street,1335 East 79th Street,,Merrillville,IN,46410,1,BRU,41.473368,-87.3203463
5645,12801 North Tatum Blvd.,12801 North Tatum Blvd.,,Phoenix,AZ,85032,1,TRU,33.6017233,-111.9765136
5839,1300 Biddle Road,1300 Biddle Road,,Medford,OR,97504,1,TRU,42.3424876,-122.8719138
7504,416 Southbridge Street,416 Southbridge Street,,Auburn,MA,01501,1,TRU,42.2022456,-71.8398008
7505,1 Worcester Rd,1 Worcester Rd,,Framingham,MA,01701,1,TRU,42.3011922,-71.3958013
8859,3908 W. Hillsborough Ave,3908 W. Hillsborough,Ave,Tampa,FL,33614,1,BRU,27.9943351,-82.5089228
8911,1400 Gemini Place Rd,1400 Gemini Place Rd,,Columbus,OH,43240,1,TRU,40.150306,-82.9805383
8916,2859 Miamisburg Centerville Rd,2859 Miamisburg,Centerville Rd,Miamisburg,OH,45342,1,TRU,39.6400932,-84.2285464
8917,3220 Nicholasville Rd,3220 Nicholasville Rd,,Lexington,KY,40503,1,TRU,37.9932111,-84.5206247
8914,4900 Shelbyville Road,4900 Shelbyville Road,,Saint Matthews,KY,40207,1,TRU,38.2485131,-85.6266259
7503,Rts128/114 Northshore S/c,Rts128/114,Northshore S/c,Peabody,MA,01960,1,TRU,42.5386917,-70.947984
8853,9365 The Landing Drive Suite B,9365 The Landing Drive,Suite B,Douglasville,GA,30135,1,TRU,33.728057,-84.739689
8852,2780 Martha Berry Hwy,2780 Martha Berry Hwy,,Rome,GA,30161,1,TRU,34.3030856,-85.1747371
8918,318 N. Green River Road,318 N. Green River Road,,Evansville,IN,47715,1,TRU,37.9807808,-87.496375
8850,969 E Barnes Xing Rd,969 E Barnes Xing Rd,,Tupelo,MS,38804,1,TRU,34.3147373,-88.7014893
8857,15625 North Kendall Dr,15625 North Kendall Dr,,Miami,FL,33196,1,BRU,25.685429,-80.4443935
7509,275 Union St,275 Union St,,Waterbury,CT,06706,1,TRU,41.5534465,-73.031974
8855,4225 Washington Rd.,4225 Washington Rd.,,Evans,GA,30809,1,BRU,33.5276741,-82.1185405
8854,1875 Greers Chapel Rd,1875 Greers Chapel Rd,,Kennesaw,GA,30144,1,BRU,34.0000457,-84.5815254
5633,1240 Auto Parkway South,1240 Auto Parkway South,,Escondido,CA,92029,1,TRU,33.110927,-117.0976553
9561,13710 Dallas Parkway,13710 Dallas Parkway,,Dallas,TX,75240,1,BRU,32.934111,-96.8206615
8835,140 Columbiana Dr.,140 Columbiana Dr.,,Columbia,SC,29212,1,TRU,34.0756859,-81.157557
7058,1645 Parkway Tanger Sevierville,1645 Parkway,Tanger Sevierville,Sevierville,TN,37862,1,TRU,35.8333435,-83.5708664
7059,6800 Oxon Hill Rd Tanger National Harbor,6800 Oxon Hill Rd,Tanger National Harbor,Oxon Hill,MD,20745,1,TRU,38.7952682,-77.0008077
7050,25024 Katy Mills Drive,25024 Katy Mills Drive,,Katy,TX,77494-4422,1,TRU,29.7811129,-95.8033923
5809,2700 Sisk Road,2700 Sisk Road,,Modesto,CA,95350,1,TRU,37.6796567,-121.0470415
6642,1150 Kuala St Pearl City Gateway,1150 Kuala St,Pearl City Gateway,Pearl City,HI,96782,1,BRU,21.40064,-157.9750477
5514,3301 Coral Way Miracle Marketplace,3301 Coral Way,Miracle Marketplace,Miami,FL,33145,1,TRU,25.7503882,-80.2497285
5808,7800 Greenback Lane,7800 Greenback Lane,,Citrus Heights,CA,95610,1,TRU,38.6769656,-121.2755439
5663,801 West 32nd Street,801 West 32nd Street,,Yuma,AZ,85365-7934,1,TRU,32.6681921,-114.6291295
7803,2871 Preston Rd Shafer Plaza,2871 Preston Rd,Shafer Plaza,Frisco,TX,75034,1,TRU,33.1029659,-96.8079077
7802,7606 West Freeway,7606 West Freeway,,White Settlement,TX,76108,1,TRU,32.7389619,-97.4480583
7805,2063 N. Town East Blvd #2100,2063 N. Town East Blvd,#2100,Mesquite,TX,75150,1,TRU,32.8105136,-96.6328805
7804,1119 S. E. 66th Street,1119 S. E. 66th Street,,Oklahoma City,OK,73149,1,TRU,35.400339,-97.4918453
7807,7400 Indian School Road,7400 Indian School Road,,Albuquerque,NM,87110,1,TRU,35.1011654,-106.5628261
7809,1319 West Pipeline Rd,1319 West Pipeline Rd,,Hurst,TX,76053,1,TRU,32.8222148,-97.200509
7808,428 E. Fm 1382,428 E. Fm 1382,,Cedar Hill,TX,75104,1,TRU,32.5909006,-96.938154
8872,2075 Old Fort Parkway,2075 Old Fort Parkway,,Murfreesboro,TN,37129,1,TRU,35.8454076,-86.4288265
5802,3520 West Shaw Ave,3520 West Shaw Ave,,Fresno,CA,93711,1,TRU,36.8093469,-119.8566918
5681,11460 Porter Ranch Dr,11460 Porter Ranch Dr,,Northridge,CA,91326,1,TRU,34.277321,-118.5696487
6010,1434 Butterfield Road,1434 Butterfield Road,,Downers Grove,IL,60515,1,TRU,41.8357932,-88.0203786
6013,6011 North Grape Road,6011 North Grape Road,,Mishawaka,IN,46545,1,TRU,41.7150739,-86.1884941
6012,1500 75th St.,1500 75th St.,,Downers Grove,IL,60516,1,TRU,41.7530173,-88.0205512
6015,2020 East Lincoln Highw,2020 East Lincoln Highw,,Merrillville,IN,46410,1,TRU,41.4731517,-87.3113553
6017,4070 Fox Valley Ctr Dr,4070 Fox Valley Ctr Dr,,Aurora,IL,60504,1,TRU,41.7605918,-88.2174706
6016,7451 West Cermak Road,7451 West Cermak Road,,North Riverside,IL,60546,1,TRU,41.8486841,-87.8073606
6019,3300 N Western Ave,3300 N Western Ave,,Chicago,IL,60618,1,TRU,41.9413669,-87.6899035
6018,3128 Voyager Lane,3128 Voyager Lane,,Joliet,IL,60435,1,TRU,41.5748839,-88.1597126
6390,30-02 Whitestone Expy,30-02 Whitestone Expy,,Flushing,NY,11356,1,TRU,40.7719815,-73.8350012
6394,2789 Paper Mill Road,2789 Paper Mill Road,,Reading,PA,19610,1,BRU,40.3612364,-75.9873316
8703,8325 South Dixie Highwa,8325 South Dixie Highwa,,Miami,FL,33143,1,TRU,25.69255,-80.3017111
8702,450 Fl-7,450 Fl-7,,West Palm Beach,FL,33414,1,TRU,26.6667459,-80.2008069
8707,1645 Northwest 107th Av,1645 Northwest 107th Av,,Miami,FL,33172,1,TRU,25.7891547,-80.368122
5805,5000 Smithridge Drive,5000 Smithridge Drive,,Reno,NV,89502,1,TRU,39.4785889,-119.787846
8705,500 West 49th Street,500 West 49th Street,,Hialeah,FL,33012,1,TRU,25.865435,-80.2931739
6393,21300 Signal Hill Plaza,21300 Signal Hill Plaza,,Sterling,VA,20164,1,BRU,39.0259479,-77.3894409
8709,551 N. E. 167th Street,551 N. E. 167th Street,,North Miami Beach,FL,33162,1,TRU,25.9296982,-80.1897786
5804,1330 Fitzgerald Drive,1330 Fitzgerald Drive,,Pinole,CA,94564,1,TRU,37.9849059,-122.3119958
5811,6850 Amador Plaza Rd.,6850 Amador Plaza Rd.,,Dublin,CA,94568,1,TRU,37.7050179,-121.9304719
9263,32700 John R. Road,32700 John R. Road,,Madison Heights,MI,48071,1,TRU,42.5326046,-83.1057992
9262,14333 Eureka Road,14333 Eureka Road,,Southgate,MI,48195,1,TRU,42.1983072,-83.1979838
9260,4923 28th Street S.e.,4923 28th Street S.e.,,Grand Rapids,MI,49512,1,BRU,42.9140116,-85.5463073
9267,5025 Monroe Street,5025 Monroe Street,,Toledo,OH,43623,1,TRU,41.6973436,-83.6431036
9266,32070 Gratiot Avenue,32070 Gratiot Avenue,,Roseville,MI,48066,1,TRU,42.5331472,-82.9108259
9265,29150 W. Seven Mile Rd,29150 W. Seven Mile Rd,,Livonia,MI,48152,1,TRU,42.4275718,-83.3338407
9269,13801 Lakeside Circle,13801 Lakeside Circle,,Sterling Heights,MI,48313,1,TRU,42.625486,-82.9918155
5605,3792 Ming Avenue,3792 Ming Avenue,,Bakersfield,CA,93309,1,TRU,35.3404558,-119.0455948
5604,960 Lakes Drive,960 Lakes Drive,,West Covina,CA,91790,1,TRU,34.0710746,-117.9246581
5607,4550 Meadows Lane,4550 Meadows Lane,,Las Vegas,NV,89107,1,TRU,36.171865,-115.202846
6452,3700 William Penn Hwy,3700 William Penn Hwy,,Monroeville,PA,15146,1,BRU,40.43468,-79.7895174
6455,395 Gateway Dr. Gateway Shopping Center,395 Gateway Dr.,Gateway Shopping Center,Brooklyn,NY,11239,1,BRU,40.6506491,-73.8706987
6454,104 Bartlett Ave,104 Bartlett Ave,,Exton,PA,19341,1,BRU,40.0212272,-75.6265581
5603,683 North Victory Blvd,683 North Victory Blvd,,Burbank,CA,91502,1,TRU,34.1802393,-118.3197435
5602,16040 Sherman Way,16040 Sherman Way,,Van Nuys,CA,91406,1,TRU,34.2003131,-118.4828141
6459,447 South Broadway,447 South Broadway,,Salem,NH,03079,1,BRU,42.7468744,-71.2012171
8831,1715 Montgomery Hwy.,1715 Montgomery Hwy.,,Hoover,AL,35226-1215,1,TRU,33.3816737,-86.8037194
5761,2747 Ne 193rd Street,2747 Ne 193rd Street,,Aventura,FL,33180,1,TRU,25.954533,-80.1457127
6518,19 Backus Ave,19 Backus Ave,,Danbury,CT,06810,1,BRU,41.3756955,-73.4864282
7522,105 Campenelli Industri,105 Campenelli Industri,,Brockton,MA,02301,1,TRU,42.0999076,-71.0518687
5693,4430 Ontario Mills Pkwy,4430 Ontario Mills Pkwy,,Ontario,CA,91764,1,BRU,34.0683634,-117.5549068
6510,2745 Ne 193rd St.,2745 Ne 193rd St.,,Aventura,FL,33180,1,BRU,25.9543687,-80.1455397
6512,24440 Village Walk Pl.,24440 Village Walk Pl.,,Murrieta,CA,92562,1,BRU,33.5677139,-117.2113795
5567,6800n 95th Ave #988 Tanger Outlets Glendale,6800n 95th Ave #988,Tanger Outlets Glendale,Glendale,AZ,85305,1,TRU,33.5334711,-112.2667164
6515,4042 Riverdale Rd.,4042 Riverdale Rd.,,Ogden,UT,84405-1518,1,BRU,41.1899159,-111.9790306
6516,106 E. University Pkwy,106 E. University Pkwy,,Orem,UT,84058,1,BRU,40.271747,-111.692545
8346,4120 Portsmouth Blvd,4120 Portsmouth Blvd,,Chesapeake,VA,23321,1,TRU,36.8241539,-76.4129612
7708,1309 W. Pipeline Rd,1309 W. Pipeline Rd,,Hurst,TX,76053,1,BRU,32.8222178,-97.1996347
5691,1780 Woodland Park Dr.,1780 Woodland Park Dr.,,Layton,UT,84041,1,TRU,41.0861109,-111.9839767
6309,5520 Sunrise Highway,5520 Sunrise Highway,,Massapequa,NY,11758,1,TRU,40.67565,-73.4348889
6308,2875 Flatbush Ave,2875 Flatbush Ave,,Brooklyn,NY,11234,1,TRU,40.6011678,-73.9119974
9548,10010 East 71st Street South,10010 East 71st Street,South,Tulsa,OK,74133,1,BRU,36.0595594,-95.8647226
9549,8327 Tx-151,8327 Tx-151,,San Antonio,TX,78245,1,BRU,29.438469,-98.6512395
9546,20280 Katy Freeway,20280 Katy Freeway,,Katy,TX,77449,1,BRU,29.787274,-95.7236436
9547,380 Fm 1960 West,380 Fm 1960 West,,Houston,TX,77090,1,BRU,30.02123,-95.4366794
9544,15555 Southwest Freeway,15555 Southwest Freeway,,Sugar Land,TX,77478,1,BRU,29.6024348,-95.6161458
9545,5142 South Wadsworth,5142 South Wadsworth,,Littleton,CO,80123-2218,1,BRU,39.6224361,-105.0883776
9542,420 East Roundgrove Rd,420 East Roundgrove Rd,,Lewisville,TX,75067,1,BRU,33.0034636,-96.979257
6069,2800 Tittabawassee Road,2800 Tittabawassee Road,,Saginaw,MI,48603,1,TRU,43.4812098,-83.9712381
9540,9505 E. County Line Rd,9505 E. County Line Rd,,Englewood,CO,80112-3501,1,TRU,39.5675484,-104.8790874
9541,4441 Lemay Ferry Road,4441 Lemay Ferry Road,,Saint Louis,MO,63129-1757,1,BRU,38.5016871,-90.334904
5694,4619 N Oracle Road,4619 N Oracle Road,,Tucson,AZ,85705,1,BRU,32.2904781,-110.9798993
9081,1500 Se Devils Lake Rd Tanger Outlets,1500 Se Devils Lake Rd,Tanger Outlets,Lincoln City,OR,97367,1,TRU,44.9587207,-124.0105628
8358,4943 Valley View Blvd.,4943 Valley View Blvd.,,Roanoke,VA,24012,1,TRU,37.3068984,-79.9681472
8350,6711 Ritchie Hwy.,6711 Ritchie Hwy.,,Glen Burnie,MD,21061,1,TRU,39.1917369,-76.6109723
8352,400 Military Highway,400 Military Highway,,Norfolk,VA,23502,1,TRU,36.8461025,-76.2090006
8353,11861 West Broad Street,11861 West Broad Street,,Richmond,VA,23233,1,TRU,37.6520008,-77.6229236
8354,8804 Pulaski Highway,8804 Pulaski Highway,,Baltimore,MD,21237,1,TRU,39.3388739,-76.4810421
8356,6001 Kingstowne Village Parkway,6001 Kingstowne,Village Parkway,Alexandria,VA,22315,1,TRU,38.7679169,-77.1396051
8357,2701 N. Mall Drive Suite 101,2701 N. Mall Drive,Suite 101,Virginia Beach,VA,23452,1,TRU,36.8194855,-76.0683428
6424,5214 Sunrise Highway Sunrise Promenade,5214 Sunrise Highway,Sunrise Promenade,Massapequa Park,NY,11762,1,BRU,40.6761751,-73.4436089
6425,5125 Jonestown Road,5125 Jonestown Road,,Harrisburg,PA,17112,1,BRU,40.3118508,-76.798822
6426,975 Hanes Mall Blvd,975 Hanes Mall Blvd,,Winston-salem,NC,27103,1,BRU,36.0634996,-80.3153507
8708,19525 South Dixie Highw,19525 South Dixie Highw,,Cutler Bay,FL,33157,1,TRU,25.5861775,-80.3615605
9551,5590 Saint Louis Mills Blvd,5590 Saint Louis Mills,Blvd,Hazelwood,MO,63042-4421,1,BRU,38.787147,-90.4189952
7158,620 Bluebird Ct Woodbury Common Outlets,620 Bluebird Ct,Woodbury Common Outlets,Central Valley,NY,10917,1,TRU,41.3143737,-74.125126
6428,6001 Argyle Forest Blvd,6001 Argyle Forest Blvd,,Jacksonville,FL,32244,1,BRU,30.1955439,-81.7438012
8892,1155 Mount Vernon Hwy Suite 300,1155 Mount Vernon Hwy,Suite 300,Dunwoody,GA,30338,1,BRU,33.9340476,-84.3500213
8890,254 Harbison Blvd.,254 Harbison Blvd.,,Columbia,SC,29212,1,BRU,34.07087,-81.1589252
7548,1025 Outlet Center Driv Site #270,1025 Outlet Center Driv,Site #270,Smithfield,NC,27577,1,TRU,35.5106202,-78.3124918
7549,1 Mills Circle Site #716a,1 Mills Circle,Site #716a,Ontario,CA,91764,1,TRU,34.073032,-117.551621
8832,2821 Guthrie Highway,2821 Guthrie Highway,,Clarksville,TN,37040,1,TRU,36.5909783,-87.2900438
5815,2705 Santa Rosa Ave.,2705 Santa Rosa Ave.,,Santa Rosa,CA,95407,1,TRU,38.4113631,-122.7151601
7543,3214 N John Young Pkwy The Loop Kissimmee,3214 N John Young Pkwy,The Loop Kissimmee,Kissimmee,FL,34741,1,TRU,28.346824,-81.420733
8908,4585 Eastgate Blvd,4585 Eastgate Blvd,,Cincinnati,OH,45245-1201,1,TRU,39.1024129,-84.2739456
7546,8225 Arroyo Circle Site #a027,8225 Arroyo Circle,Site #a027,Gilroy,CA,95020,1,TRU,37.021196,-121.5624101
7547,12150 Beyer Road Site # F250,12150 Beyer Road,Site # F250,Birch Run,MI,48415,1,TRU,43.246683,-83.77755
9212,67681 Mall Road,67681 Mall Road,,Saint Clairsville,OH,43950,1,TRU,40.0677497,-80.8623362
6605,2601 W. Osceola Parkway,2601 W. Osceola Parkway,,Kissimmee,FL,34741,1,BRU,28.3444486,-81.4262413
7019,1449 Bay Area Blvd,1449 Bay Area Blvd,,Webster,TX,77598,1,TRU,29.5372082,-95.1460651
7016,3609 Veterans Memorial,3609 Veterans Memorial,,Metairie,LA,70002,1,TRU,30.0053886,-90.1626208
